filename,width,height,class,xmin,ymin,xmax,ymax
P00001.jpg,681,549,Knife,192,204,581,367
P00001.jpg,681,549,Knife,160,208,490,489
P00002.jpg,801,482,Knife,224,223,695,463
P00002.jpg,801,482,Knife,194,323,618,471
P00003.jpg,1024,640,Knife,844,123,918,315
P00004.jpg,649,571,Knife,17,144,355,302
P00005.jpg,506,633,Knife,115,132,209,429
P00006.jpg,614,759,Knife,0,179,224,445
P00007.jpg,675,382,Knife,298,202,632,270
P00007.jpg,675,382,Knife,202,57,482,127
P00008.jpg,688,427,Knife,278,257,631,350
P00008.jpg,688,427,Knife,254,115,517,160
P00009.jpg,680,406,Knife,292,180,638,285
P00009.jpg,680,406,Knife,269,49,543,113
P00010.jpg,685,416,Knife,24,88,382,203
P00010.jpg,685,416,Knife,126,268,422,355
P00011.jpg,836,570,Knife,60,452,462,529
P00011.jpg,836,570,Knife,76,418,478,540
P00011.jpg,836,570,Gun,67,214,159,340
P00011.jpg,836,570,Gun,70,212,266,305
P00012.jpg,692,366,Knife,314,226,645,285
P00012.jpg,692,366,Knife,305,70,590,153
P00013.jpg,686,362,Knife,80,180,389,316
P00013.jpg,686,362,Knife,40,33,376,111
P00014.jpg,824,575,Knife,79,413,483,551
P00014.jpg,824,575,Knife,81,479,479,549
P00014.jpg,824,575,Gun,68,291,247,367
P00014.jpg,824,575,Gun,69,215,163,343
P00015.jpg,688,360,Knife,310,224,665,304
P00015.jpg,688,360,Knife,297,70,564,134
P00016.jpg,693,361,Knife,324,196,686,304
P00016.jpg,693,361,Knife,293,54,577,128
P00017.jpg,836,574,Knife,344,392,650,542
P00017.jpg,836,574,Knife,78,419,476,530
P00017.jpg,836,574,Gun,173,254,389,381
P00017.jpg,836,574,Gun,73,177,160,289
P00018.jpg,1536,714,Knife,1323,407,1536,483
P00018.jpg,1536,714,Knife,1055,440,1471,532
P00018.jpg,1536,714,Gun,1040,196,1130,309
P00018.jpg,1536,714,Gun,1010,253,1264,348
P00019.jpg,1536,611,Knife,282,210,665,315
P00019.jpg,1536,611,Knife,220,63,536,146
P00020.jpg,693,396,Knife,324,258,672,341
P00020.jpg,693,396,Knife,301,83,592,178
P00021.jpg,681,389,Knife,324,156,670,299
P00021.jpg,681,389,Knife,289,54,565,96
P00022.jpg,696,389,Knife,319,227,669,322
P00022.jpg,696,389,Knife,320,74,615,151
P00023.jpg,696,448,Knife,56,182,367,322
P00023.jpg,696,448,Knife,43,46,395,156
P00024.jpg,586,610,Knife,361,85,515,385
P00024.jpg,586,610,Knife,165,65,409,271
P00025.jpg,476,641,Knife,102,378,320,603
P00025.jpg,476,641,Knife,272,251,381,511
P00026.jpg,657,340,Knife,131,212,400,262
P00026.jpg,657,340,Knife,35,177,375,254
P00027.jpg,666,538,Knife,248,295,526,392
P00027.jpg,666,538,Knife,256,222,594,312
P00028.jpg,684,401,Knife,220,97,514,262
P00028.jpg,684,401,Knife,117,205,460,331
P00029.jpg,657,403,Knife,92,136,423,199
P00029.jpg,657,403,Knife,126,253,415,326
P00030.jpg,818,569,Gun,668,286,755,383
P00030.jpg,818,569,Knife,346,429,750,511
P00030.jpg,818,569,Knife,347,429,745,519
P00030.jpg,818,569,Gun,514,127,714,236
P00031.jpg,812,580,Gun,657,313,752,434
P00031.jpg,812,580,Knife,333,220,727,265
P00031.jpg,812,580,Knife,341,210,737,244
P00031.jpg,812,580,Gun,505,439,697,520
P00032.jpg,817,542,Gun,376,64,505,137
P00032.jpg,817,542,Gun,711,193,761,306
P00032.jpg,817,542,Knife,324,411,725,465
P00032.jpg,817,542,Knife,346,404,749,479
P00033.jpg,648,451,Knife,137,240,438,406
P00033.jpg,648,451,Knife,79,107,369,337
P00034.jpg,820,584,Knife,94,443,487,556
P00034.jpg,820,584,Knife,70,455,469,542
P00034.jpg,820,584,Gun,209,159,441,310
P00034.jpg,820,584,Gun,44,225,90,316
P00035.jpg,813,579,Knife,344,205,735,250
P00035.jpg,813,579,Knife,331,214,732,267
P00035.jpg,813,579,Gun,706,330,756,448
P00035.jpg,813,579,Gun,377,456,544,554
P00036.jpg,838,622,Gun,291,144,470,223
P00036.jpg,838,622,Knife,62,456,462,532
P00036.jpg,838,622,Knife,62,420,464,549
P00036.jpg,838,622,Gun,93,196,128,276
P00037.jpg,837,596,Knife,76,451,478,529
P00037.jpg,837,596,Knife,73,424,472,536
